,backbone_model,is_train_clf,ice_clf,reducer,ICE no concepts,ice count,test_acc_mean,test_acc_std,test_acc,ice_acc_mean,ice_acc_std,ice_acc,woe_acc_mean,woe_acc_std,woe_acc,test_sensitivity_mean,test_sensitivity_std,test_sensitivity,ice_sensitivity_mean,ice_sensitivity_std,ice_sensitivity,woe_sensitivity_mean,woe_sensitivity_std,woe_sensitivity,test_precision_mean,test_precision_std,test_precision,ice_precision_mean,ice_precision_std,ice_precision,woe_precision_mean,woe_precision_std,woe_precision,test_f1_score_mean,test_f1_score_std,test_f1_score,ice_f1_score_mean,ice_f1_score_std,ice_f1_score,woe_f1_score_mean,woe_f1_score_std,woe_f1_score
47,resnet50,True,logistic,NMF,15,20,79.54,5.45,$79.54 \pm 5.45$,78.89,4.19,$78.89 \pm 4.19$,77.86,3.99,$77.86 \pm 3.99$,85.33,6.2,$85.33 \pm 6.2$,86.25,5.4,$86.25 \pm 5.4$,85.25,3.68,$85.25 \pm 3.68$,83.08,5.98,$83.08 \pm 5.98$,81.09,4.66,$81.09 \pm 4.66$,82.39,4.67,$82.39 \pm 4.67$,84.04,5.01,$84.04 \pm 5.01$,83.56,4.73,$83.56 \pm 4.73$,83.72,3.41,$83.72 \pm 3.41$
48,resnet50,False,Not-Applicable,PCA,15,20,79.54,5.45,$79.54 \pm 5.45$,79.11,4.49,$79.11 \pm 4.49$,77.64,4.4,$77.64 \pm 4.4$,85.33,6.2,$85.33 \pm 6.2$,85.42,5.48,$85.42 \pm 5.48$,84.0,5.14,$84.0 \pm 5.14$,83.08,5.98,$83.08 \pm 5.98$,82.89,5.75,$82.89 \pm 5.75$,81.22,5.23,$81.22 \pm 5.23$,84.04,5.01,$84.04 \pm 5.01$,84.0,4.53,$84.0 \pm 4.53$,82.5,4.43,$82.5 \pm 4.43$
49,resnet50,True,ridge,PCA,15,20,79.54,5.45,$79.54 \pm 5.45$,79.96,4.06,$79.96 \pm 4.06$,77.64,4.4,$77.64 \pm 4.4$,85.33,6.2,$85.33 \pm 6.2$,85.58,5.86,$85.58 \pm 5.86$,84.0,5.14,$84.0 \pm 5.14$,83.08,5.98,$83.08 \pm 5.98$,83.55,4.74,$83.55 \pm 4.74$,81.22,5.23,$81.22 \pm 5.23$,84.04,5.01,$84.04 \pm 5.01$,84.5,4.77,$84.5 \pm 4.77$,82.5,4.43,$82.5 \pm 4.43$
50,resnet50,True,gnb,PCA,15,20,79.54,5.45,$79.54 \pm 5.45$,77.64,4.45,$77.64 \pm 4.45$,77.64,4.4,$77.64 \pm 4.4$,85.33,6.2,$85.33 \pm 6.2$,84.0,5.14,$84.0 \pm 5.14$,84.0,5.14,$84.0 \pm 5.14$,83.08,5.98,$83.08 \pm 5.98$,81.22,5.23,$81.22 \pm 5.23$,81.22,5.23,$81.22 \pm 5.23$,84.04,5.01,$84.04 \pm 5.01$,82.5,4.43,$82.5 \pm 4.43$,82.5,4.43,$82.5 \pm 4.43$
51,resnet50,True,logistic,PCA,15,20,79.54,5.45,$79.54 \pm 5.45$,80.18,3.66,$80.18 \pm 3.66$,77.64,4.4,$77.64 \pm 4.4$,85.33,6.2,$85.33 \pm 6.2$,85.0,4.46,$85.0 \pm 4.46$,84.0,5.14,$84.0 \pm 5.14$,83.08,5.98,$83.08 \pm 5.98$,84.74,4.45,$84.74 \pm 4.45$,81.22,5.23,$81.22 \pm 5.23$,84.04,5.01,$84.04 \pm 5.01$,84.82,3.94,$84.82 \pm 3.94$,82.5,4.43,$82.5 \pm 4.43$
52,resnet50,False,Not-Applicable,NMF,20,20,79.54,5.45,$79.54 \pm 5.45$,78.36,4.93,$78.36 \pm 4.93$,78.11,4.82,$78.11 \pm 4.82$,85.33,6.2,$85.33 \pm 6.2$,86.08,5.86,$86.08 \pm 5.86$,84.58,3.74,$84.58 \pm 3.74$,83.08,5.98,$83.08 \pm 5.98$,81.77,6.01,$81.77 \pm 6.01$,82.27,5.64,$82.27 \pm 5.64$,84.04,5.01,$84.04 \pm 5.01$,83.69,4.49,$83.69 \pm 4.49$,83.31,4.08,$83.31 \pm 4.08$
53,resnet50,True,ridge,NMF,20,20,79.54,5.45,$79.54 \pm 5.45$,80.29,4.23,$80.29 \pm 4.23$,78.11,4.82,$78.11 \pm 4.82$,85.33,6.2,$85.33 \pm 6.2$,87.08,5.01,$87.08 \pm 5.01$,84.58,3.74,$84.58 \pm 3.74$,83.08,5.98,$83.08 \pm 5.98$,83.05,4.5,$83.05 \pm 4.5$,82.27,5.64,$82.27 \pm 5.64$,84.04,5.01,$84.04 \pm 5.01$,84.99,4.4,$84.99 \pm 4.4$,83.31,4.08,$83.31 \pm 4.08$
54,resnet50,True,gnb,NMF,20,20,79.54,5.45,$79.54 \pm 5.45$,78.11,4.82,$78.11 \pm 4.82$,78.11,4.82,$78.11 \pm 4.82$,85.33,6.2,$85.33 \pm 6.2$,84.58,3.74,$84.58 \pm 3.74$,84.58,3.74,$84.58 \pm 3.74$,83.08,5.98,$83.08 \pm 5.98$,82.27,5.64,$82.27 \pm 5.64$,82.27,5.64,$82.27 \pm 5.64$,84.04,5.01,$84.04 \pm 5.01$,83.31,4.08,$83.31 \pm 4.08$,83.31,4.08,$83.31 \pm 4.08$
55,resnet50,True,logistic,NMF,20,20,79.54,5.45,$79.54 \pm 5.45$,79.89,3.98,$79.89 \pm 3.98$,78.11,4.82,$78.11 \pm 4.82$,85.33,6.2,$85.33 \pm 6.2$,87.0,4.61,$87.0 \pm 4.61$,84.58,3.74,$84.58 \pm 3.74$,83.08,5.98,$83.08 \pm 5.98$,82.36,4.59,$82.36 \pm 4.59$,82.27,5.64,$82.27 \pm 5.64$,84.04,5.01,$84.04 \pm 5.01$,84.58,4.21,$84.58 \pm 4.21$,83.31,4.08,$83.31 \pm 4.08$
56,resnet50,False,Not-Applicable,PCA,20,20,79.54,5.45,$79.54 \pm 5.45$,79.46,4.79,$79.46 \pm 4.79$,77.89,4.36,$77.89 \pm 4.36$,85.33,6.2,$85.33 \pm 6.2$,85.33,6.11,$85.33 \pm 6.11$,84.83,4.92,$84.83 \pm 4.92$,83.08,5.98,$83.08 \pm 5.98$,83.0,6.44,$83.0 \pm 6.44$,81.09,4.72,$81.09 \pm 4.72$,84.04,5.01,$84.04 \pm 5.01$,83.95,4.82,$83.95 \pm 4.82$,82.81,3.77,$82.81 \pm 3.77$
57,resnet50,True,ridge,PCA,20,20,79.54,5.45,$79.54 \pm 5.45$,80.43,4.55,$80.43 \pm 4.55$,77.89,4.36,$77.89 \pm 4.36$,85.33,6.2,$85.33 \pm 6.2$,85.08,5.63,$85.08 \pm 5.63$,84.83,4.92,$84.83 \pm 4.92$,83.08,5.98,$83.08 \pm 5.98$,84.79,5.27,$84.79 \pm 5.27$,81.09,4.72,$81.09 \pm 4.72$,84.04,5.01,$84.04 \pm 5.01$,84.85,4.69,$84.85 \pm 4.69$,82.81,3.77,$82.81 \pm 3.77$
58,resnet50,True,gnb,PCA,20,20,79.54,5.45,$79.54 \pm 5.45$,77.89,4.36,$77.89 \pm 4.36$,77.89,4.36,$77.89 \pm 4.36$,85.33,6.2,$85.33 \pm 6.2$,84.83,4.92,$84.83 \pm 4.92$,84.83,4.92,$84.83 \pm 4.92$,83.08,5.98,$83.08 \pm 5.98$,81.09,4.72,$81.09 \pm 4.72$,81.09,4.72,$81.09 \pm 4.72$,84.04,5.01,$84.04 \pm 5.01$,82.81,3.77,$82.81 \pm 3.77$,82.81,3.77,$82.81 \pm 3.77$
59,resnet50,True,logistic,PCA,20,20,79.54,5.45,$79.54 \pm 5.45$,80.61,4.0,$80.61 \pm 4.0$,77.89,4.36,$77.89 \pm 4.36$,85.33,6.2,$85.33 \pm 6.2$,84.33,5.06,$84.33 \pm 5.06$,84.83,4.92,$84.83 \pm 4.92$,83.08,5.98,$83.08 \pm 5.98$,85.17,5.28,$85.17 \pm 5.28$,81.09,4.72,$81.09 \pm 4.72$,84.04,5.01,$84.04 \pm 5.01$,84.66,4.3,$84.66 \pm 4.3$,82.81,3.77,$82.81 \pm 3.77$
60,resnet50,False,Not-Applicable,NMF,25,20,79.54,5.45,$79.54 \pm 5.45$,78.36,5.07,$78.36 \pm 5.07$,78.07,4.67,$78.07 \pm 4.67$,85.33,6.2,$85.33 \pm 6.2$,85.67,5.71,$85.67 \pm 5.71$,84.42,3.76,$84.42 \pm 3.76$,83.08,5.98,$83.08 \pm 5.98$,82.19,6.35,$82.19 \pm 6.35$,82.39,5.65,$82.39 \pm 5.65$,84.04,5.01,$84.04 \pm 5.01$,83.71,4.64,$83.71 \pm 4.64$,83.28,3.8,$83.28 \pm 3.8$
61,resnet50,True,ridge,NMF,25,20,79.54,5.45,$79.54 \pm 5.45$,79.93,4.81,$79.93 \pm 4.81$,78.07,4.67,$78.07 \pm 4.67$,85.33,6.2,$85.33 \pm 6.2$,86.0,5.91,$86.0 \pm 5.91$,84.42,3.76,$84.42 \pm 3.76$,83.08,5.98,$83.08 \pm 5.98$,82.98,5.1,$82.98 \pm 5.1$,82.39,5.65,$82.39 \pm 5.65$,84.04,5.01,$84.04 \pm 5.01$,84.4,4.94,$84.4 \pm 4.94$,83.28,3.8,$83.28 \pm 3.8$
62,resnet50,True,gnb,NMF,25,20,79.54,5.45,$79.54 \pm 5.45$,78.07,4.67,$78.07 \pm 4.67$,78.07,4.67,$78.07 \pm 4.67$,85.33,6.2,$85.33 \pm 6.2$,84.42,3.76,$84.42 \pm 3.76$,84.42,3.76,$84.42 \pm 3.76$,83.08,5.98,$83.08 \pm 5.98$,82.39,5.65,$82.39 \pm 5.65$,82.39,5.65,$82.39 \pm 5.65$,84.04,5.01,$84.04 \pm 5.01$,83.28,3.8,$83.28 \pm 3.8$,83.28,3.8,$83.28 \pm 3.8$
63,resnet50,True,logistic,NMF,25,20,79.54,5.45,$79.54 \pm 5.45$,79.46,4.73,$79.46 \pm 4.73$,78.07,4.67,$78.07 \pm 4.67$,85.33,6.2,$85.33 \pm 6.2$,86.67,5.57,$86.67 \pm 5.57$,84.42,3.76,$84.42 \pm 3.76$,83.08,5.98,$83.08 \pm 5.98$,82.07,4.82,$82.07 \pm 4.82$,82.39,5.65,$82.39 \pm 5.65$,84.04,5.01,$84.04 \pm 5.01$,84.26,4.83,$84.26 \pm 4.83$,83.28,3.8,$83.28 \pm 3.8$
64,resnet50,False,Not-Applicable,PCA,25,20,79.54,5.45,$79.54 \pm 5.45$,79.32,4.44,$79.32 \pm 4.44$,78.14,4.31,$78.14 \pm 4.31$,85.33,6.2,$85.33 \pm 6.2$,85.5,5.93,$85.5 \pm 5.93$,85.92,4.6,$85.92 \pm 4.6$,83.08,5.98,$83.08 \pm 5.98$,83.3,5.88,$83.3 \pm 5.88$,80.85,5.02,$80.85 \pm 5.02$,84.04,5.01,$84.04 \pm 5.01$,84.21,4.51,$84.21 \pm 4.51$,83.21,3.98,$83.21 \pm 3.98$
65,resnet50,True,ridge,PCA,25,20,79.54,5.45,$79.54 \pm 5.45$,80.57,4.28,$80.57 \pm 4.28$,78.14,4.31,$78.14 \pm 4.31$,85.33,6.2,$85.33 \pm 6.2$,84.67,5.69,$84.67 \pm 5.69$,85.92,4.6,$85.92 \pm 4.6$,83.08,5.98,$83.08 \pm 5.98$,85.07,5.36,$85.07 \pm 5.36$,80.85,5.02,$80.85 \pm 5.02$,84.04,5.01,$84.04 \pm 5.01$,84.75,4.49,$84.75 \pm 4.49$,83.21,3.98,$83.21 \pm 3.98$
66,resnet50,True,gnb,PCA,25,20,79.54,5.45,$79.54 \pm 5.45$,78.14,4.31,$78.14 \pm 4.31$,78.14,4.31,$78.14 \pm 4.31$,85.33,6.2,$85.33 \pm 6.2$,85.92,4.6,$85.92 \pm 4.6$,85.92,4.6,$85.92 \pm 4.6$,83.08,5.98,$83.08 \pm 5.98$,80.85,5.02,$80.85 \pm 5.02$,80.85,5.02,$80.85 \pm 5.02$,84.04,5.01,$84.04 \pm 5.01$,83.21,3.98,$83.21 \pm 3.98$,83.21,3.98,$83.21 \pm 3.98$
67,resnet50,True,logistic,PCA,25,20,79.54,5.45,$79.54 \pm 5.45$,80.46,3.62,$80.46 \pm 3.62$,78.14,4.31,$78.14 \pm 4.31$,85.33,6.2,$85.33 \pm 6.2$,83.75,4.83,$83.75 \pm 4.83$,85.92,4.6,$85.92 \pm 4.6$,83.08,5.98,$83.08 \pm 5.98$,85.21,4.99,$85.21 \pm 4.99$,80.85,5.02,$80.85 \pm 5.02$,84.04,5.01,$84.04 \pm 5.01$,84.39,4.08,$84.39 \pm 4.08$,83.21,3.98,$83.21 \pm 3.98$
68,resnet50,False,Not-Applicable,NMF,30,20,79.54,5.45,$79.54 \pm 5.45$,78.46,4.88,$78.46 \pm 4.88$,78.32,4.6,$78.32 \pm 4.6$,85.33,6.2,$85.33 \pm 6.2$,86.25,5.87,$86.25 \pm 5.87$,85.08,3.65,$85.08 \pm 3.65$,83.08,5.98,$83.08 \pm 5.98$,82.34,5.91,$82.34 \pm 5.91$,82.1,4.62,$82.1 \pm 4.62$,84.04,5.01,$84.04 \pm 5.01$,84.06,4.33,$84.06 \pm 4.33$,83.49,3.47,$83.49 \pm 3.47$
69,resnet50,True,ridge,NMF,30,20,79.54,5.45,$79.54 \pm 5.45$,79.86,4.26,$79.86 \pm 4.26$,78.32,4.6,$78.32 \pm 4.6$,85.33,6.2,$85.33 \pm 6.2$,86.42,4.93,$86.42 \pm 4.93$,85.08,3.65,$85.08 \pm 3.65$,83.08,5.98,$83.08 \pm 5.98$,83.14,4.32,$83.14 \pm 4.32$,82.1,4.62,$82.1 \pm 4.62$,84.04,5.01,$84.04 \pm 5.01$,84.68,3.85,$84.68 \pm 3.85$,83.49,3.47,$83.49 \pm 3.47$
70,resnet50,True,gnb,NMF,30,20,79.54,5.45,$79.54 \pm 5.45$,78.36,4.54,$78.36 \pm 4.54$,78.32,4.6,$78.32 \pm 4.6$,85.33,6.2,$85.33 \pm 6.2$,85.08,3.65,$85.08 \pm 3.65$,85.08,3.65,$85.08 \pm 3.65$,83.08,5.98,$83.08 \pm 5.98$,82.16,4.59,$82.16 \pm 4.59$,82.1,4.62,$82.1 \pm 4.62$,84.04,5.01,$84.04 \pm 5.01$,83.52,3.43,$83.52 \pm 3.43$,83.49,3.47,$83.49 \pm 3.47$
71,resnet50,True,logistic,NMF,30,20,79.54,5.45,$79.54 \pm 5.45$,79.39,4.24,$79.39 \pm 4.24$,78.32,4.6,$78.32 \pm 4.6$,85.33,6.2,$85.33 \pm 6.2$,87.0,4.38,$87.0 \pm 4.38$,85.08,3.65,$85.08 \pm 3.65$,83.08,5.98,$83.08 \pm 5.98$,82.21,4.24,$82.21 \pm 4.24$,82.1,4.62,$82.1 \pm 4.62$,84.04,5.01,$84.04 \pm 5.01$,84.5,3.94,$84.5 \pm 3.94$,83.49,3.47,$83.49 \pm 3.47$
72,resnet50,False,Not-Applicable,PCA,30,20,79.54,5.45,$79.54 \pm 5.45$,79.61,4.76,$79.61 \pm 4.76$,77.5,4.54,$77.5 \pm 4.54$,85.33,6.2,$85.33 \pm 6.2$,85.25,5.65,$85.25 \pm 5.65$,85.58,4.63,$85.58 \pm 4.63$,83.08,5.98,$83.08 \pm 5.98$,83.85,5.95,$83.85 \pm 5.95$,79.83,4.68,$79.83 \pm 4.68$,84.04,5.01,$84.04 \pm 5.01$,84.38,4.55,$84.38 \pm 4.55$,82.54,3.98,$82.54 \pm 3.98$
73,resnet50,True,ridge,PCA,30,20,79.54,5.45,$79.54 \pm 5.45$,80.25,4.12,$80.25 \pm 4.12$,77.5,4.54,$77.5 \pm 4.54$,85.33,6.2,$85.33 \pm 6.2$,84.67,5.76,$84.67 \pm 5.76$,85.58,4.63,$85.58 \pm 4.63$,83.08,5.98,$83.08 \pm 5.98$,84.69,5.15,$84.69 \pm 5.15$,79.83,4.68,$79.83 \pm 4.68$,84.04,5.01,$84.04 \pm 5.01$,84.57,4.47,$84.57 \pm 4.47$,82.54,3.98,$82.54 \pm 3.98$
74,resnet50,True,gnb,PCA,30,20,79.54,5.45,$79.54 \pm 5.45$,77.5,4.54,$77.5 \pm 4.54$,77.5,4.54,$77.5 \pm 4.54$,85.33,6.2,$85.33 \pm 6.2$,85.58,4.63,$85.58 \pm 4.63$,85.58,4.63,$85.58 \pm 4.63$,83.08,5.98,$83.08 \pm 5.98$,79.83,4.68,$79.83 \pm 4.68$,79.83,4.68,$79.83 \pm 4.68$,84.04,5.01,$84.04 \pm 5.01$,82.54,3.98,$82.54 \pm 3.98$,82.54,3.98,$82.54 \pm 3.98$
75,resnet50,True,logistic,PCA,30,20,79.54,5.45,$79.54 \pm 5.45$,79.89,3.96,$79.89 \pm 3.96$,77.5,4.54,$77.5 \pm 4.54$,85.33,6.2,$85.33 \pm 6.2$,83.75,5.15,$83.75 \pm 5.15$,85.58,4.63,$85.58 \pm 4.63$,83.08,5.98,$83.08 \pm 5.98$,84.88,4.97,$84.88 \pm 4.97$,79.83,4.68,$79.83 \pm 4.68$,84.04,5.01,$84.04 \pm 5.01$,84.2,4.0,$84.2 \pm 4.0$,82.54,3.98,$82.54 \pm 3.98$
76,resnet50,False,Not-Applicable,NMF,35,20,79.54,5.45,$79.54 \pm 5.45$,78.86,5.06,$78.86 \pm 5.06$,78.46,3.98,$78.46 \pm 3.98$,85.33,6.2,$85.33 \pm 6.2$,86.0,6.13,$86.0 \pm 6.13$,85.08,3.4,$85.08 \pm 3.4$,83.08,5.98,$83.08 \pm 5.98$,82.9,6.17,$82.9 \pm 6.17$,82.44,4.5,$82.44 \pm 4.5$,84.04,5.01,$84.04 \pm 5.01$,84.22,4.54,$84.22 \pm 4.54$,83.69,3.48,$83.69 \pm 3.48$
77,resnet50,True,ridge,NMF,35,20,79.54,5.45,$79.54 \pm 5.45$,80.21,4.57,$80.21 \pm 4.57$,78.46,3.98,$78.46 \pm 3.98$,85.33,6.2,$85.33 \pm 6.2$,86.67,5.65,$86.67 \pm 5.65$,85.08,3.4,$85.08 \pm 3.4$,83.08,5.98,$83.08 \pm 5.98$,83.37,4.71,$83.37 \pm 4.71$,82.44,4.5,$82.44 \pm 4.5$,84.04,5.01,$84.04 \pm 5.01$,84.94,4.75,$84.94 \pm 4.75$,83.69,3.48,$83.69 \pm 3.48$
78,resnet50,True,gnb,NMF,35,20,79.54,5.45,$79.54 \pm 5.45$,78.43,4.06,$78.43 \pm 4.06$,78.46,3.98,$78.46 \pm 3.98$,85.33,6.2,$85.33 \pm 6.2$,85.08,3.4,$85.08 \pm 3.4$,85.08,3.4,$85.08 \pm 3.4$,83.08,5.98,$83.08 \pm 5.98$,82.4,4.66,$82.4 \pm 4.66$,82.44,4.5,$82.44 \pm 4.5$,84.04,5.01,$84.04 \pm 5.01$,83.66,3.56,$83.66 \pm 3.56$,83.69,3.48,$83.69 \pm 3.48$
79,resnet50,True,logistic,NMF,35,20,79.54,5.45,$79.54 \pm 5.45$,79.21,4.82,$79.21 \pm 4.82$,78.46,3.98,$78.46 \pm 3.98$,85.33,6.2,$85.33 \pm 6.2$,86.75,5.76,$86.75 \pm 5.76$,85.08,3.4,$85.08 \pm 3.4$,83.08,5.98,$83.08 \pm 5.98$,82.04,4.63,$82.04 \pm 4.63$,82.44,4.5,$82.44 \pm 4.5$,84.04,5.01,$84.04 \pm 5.01$,84.27,4.64,$84.27 \pm 4.64$,83.69,3.48,$83.69 \pm 3.48$
80,resnet50,False,Not-Applicable,PCA,35,20,79.54,5.45,$79.54 \pm 5.45$,79.96,4.26,$79.96 \pm 4.26$,77.5,4.66,$77.5 \pm 4.66$,85.33,6.2,$85.33 \pm 6.2$,85.67,6.2,$85.67 \pm 6.2$,85.83,4.97,$85.83 \pm 4.97$,83.08,5.98,$83.08 \pm 5.98$,84.22,5.61,$84.22 \pm 5.61$,80.02,5.17,$80.02 \pm 5.17$,84.04,5.01,$84.04 \pm 5.01$,84.77,4.51,$84.77 \pm 4.51$,82.76,4.51,$82.76 \pm 4.51$
81,resnet50,True,ridge,PCA,35,20,79.54,5.45,$79.54 \pm 5.45$,80.29,4.45,$80.29 \pm 4.45$,77.5,4.66,$77.5 \pm 4.66$,85.33,6.2,$85.33 \pm 6.2$,85.08,5.68,$85.08 \pm 5.68$,85.83,4.97,$85.83 \pm 4.97$,83.08,5.98,$83.08 \pm 5.98$,84.66,5.22,$84.66 \pm 5.22$,80.02,5.17,$80.02 \pm 5.17$,84.04,5.01,$84.04 \pm 5.01$,84.78,4.63,$84.78 \pm 4.63$,82.76,4.51,$82.76 \pm 4.51$
82,resnet50,True,gnb,PCA,35,20,79.54,5.45,$79.54 \pm 5.45$,77.5,4.66,$77.5 \pm 4.66$,77.5,4.66,$77.5 \pm 4.66$,85.33,6.2,$85.33 \pm 6.2$,85.83,4.97,$85.83 \pm 4.97$,85.83,4.97,$85.83 \pm 4.97$,83.08,5.98,$83.08 \pm 5.98$,80.02,5.17,$80.02 \pm 5.17$,80.02,5.17,$80.02 \pm 5.17$,84.04,5.01,$84.04 \pm 5.01$,82.76,4.51,$82.76 \pm 4.51$,82.76,4.51,$82.76 \pm 4.51$
83,resnet50,True,logistic,PCA,35,20,79.54,5.45,$79.54 \pm 5.45$,79.82,3.79,$79.82 \pm 3.79$,77.5,4.66,$77.5 \pm 4.66$,85.33,6.2,$85.33 \pm 6.2$,83.83,5.57,$83.83 \pm 5.57$,85.83,4.97,$85.83 \pm 4.97$,83.08,5.98,$83.08 \pm 5.98$,84.8,5.23,$84.8 \pm 5.23$,80.02,5.17,$80.02 \pm 5.17$,84.04,5.01,$84.04 \pm 5.01$,84.21,4.56,$84.21 \pm 4.56$,82.76,4.51,$82.76 \pm 4.51$
84,resnet50,False,Not-Applicable,NMF,40,20,79.54,5.45,$79.54 \pm 5.45$,78.46,5.25,$78.46 \pm 5.25$,78.21,4.19,$78.21 \pm 4.19$,85.33,6.2,$85.33 \pm 6.2$,85.5,6.45,$85.5 \pm 6.45$,84.75,3.95,$84.75 \pm 3.95$,83.08,5.98,$83.08 \pm 5.98$,82.67,6.48,$82.67 \pm 6.48$,82.67,4.78,$82.67 \pm 4.78$,84.04,5.01,$84.04 \pm 5.01$,83.84,4.75,$83.84 \pm 4.75$,83.63,3.77,$83.63 \pm 3.77$
85,resnet50,True,ridge,NMF,40,20,79.54,5.45,$79.54 \pm 5.45$,79.43,5.33,$79.43 \pm 5.33$,78.21,4.19,$78.21 \pm 4.19$,85.33,6.2,$85.33 \pm 6.2$,86.0,5.96,$86.0 \pm 5.96$,84.75,3.95,$84.75 \pm 3.95$,83.08,5.98,$83.08 \pm 5.98$,82.64,5.49,$82.64 \pm 5.49$,82.67,4.78,$82.67 \pm 4.78$,84.04,5.01,$84.04 \pm 5.01$,84.2,5.07,$84.2 \pm 5.07$,83.63,3.77,$83.63 \pm 3.77$
86,resnet50,True,gnb,NMF,40,20,79.54,5.45,$79.54 \pm 5.45$,78.14,4.18,$78.14 \pm 4.18$,78.21,4.19,$78.21 \pm 4.19$,85.33,6.2,$85.33 \pm 6.2$,84.67,3.81,$84.67 \pm 3.81$,84.75,3.95,$84.75 \pm 3.95$,83.08,5.98,$83.08 \pm 5.98$,82.65,4.8,$82.65 \pm 4.8$,82.67,4.78,$82.67 \pm 4.78$,84.04,5.01,$84.04 \pm 5.01$,83.59,3.76,$83.59 \pm 3.76$,83.63,3.77,$83.63 \pm 3.77$
87,resnet50,True,logistic,NMF,40,20,79.54,5.45,$79.54 \pm 5.45$,78.64,5.35,$78.64 \pm 5.35$,78.21,4.19,$78.21 \pm 4.19$,85.33,6.2,$85.33 \pm 6.2$,86.75,5.91,$86.75 \pm 5.91$,84.75,3.95,$84.75 \pm 3.95$,83.08,5.98,$83.08 \pm 5.98$,81.5,5.64,$81.5 \pm 5.64$,82.67,4.78,$82.67 \pm 4.78$,84.04,5.01,$84.04 \pm 5.01$,83.96,5.14,$83.96 \pm 5.14$,83.63,3.77,$83.63 \pm 3.77$
88,resnet50,False,Not-Applicable,PCA,40,20,79.54,5.45,$79.54 \pm 5.45$,79.75,4.21,$79.75 \pm 4.21$,77.57,4.42,$77.57 \pm 4.42$,85.33,6.2,$85.33 \pm 6.2$,85.17,6.33,$85.17 \pm 6.33$,86.42,4.96,$86.42 \pm 4.96$,83.08,5.98,$83.08 \pm 5.98$,83.79,5.52,$83.79 \pm 5.52$,80.41,5.49,$80.41 \pm 5.49$,84.04,5.01,$84.04 \pm 5.01$,84.3,4.56,$84.3 \pm 4.56$,83.2,4.27,$83.2 \pm 4.27$
89,resnet50,True,ridge,PCA,40,20,79.54,5.45,$79.54 \pm 5.45$,80.61,4.06,$80.61 \pm 4.06$,77.57,4.42,$77.57 \pm 4.42$,85.33,6.2,$85.33 \pm 6.2$,85.08,5.61,$85.08 \pm 5.61$,86.42,4.96,$86.42 \pm 4.96$,83.08,5.98,$83.08 \pm 5.98$,85.02,4.49,$85.02 \pm 4.49$,80.41,5.49,$80.41 \pm 5.49$,84.04,5.01,$84.04 \pm 5.01$,84.98,4.41,$84.98 \pm 4.41$,83.2,4.27,$83.2 \pm 4.27$
90,resnet50,True,gnb,PCA,40,20,79.54,5.45,$79.54 \pm 5.45$,77.54,4.38,$77.54 \pm 4.38$,77.57,4.42,$77.57 \pm 4.42$,85.33,6.2,$85.33 \pm 6.2$,86.42,4.96,$86.42 \pm 4.96$,86.42,4.96,$86.42 \pm 4.96$,83.08,5.98,$83.08 \pm 5.98$,80.41,5.49,$80.41 \pm 5.49$,80.41,5.49,$80.41 \pm 5.49$,84.04,5.01,$84.04 \pm 5.01$,83.2,4.27,$83.2 \pm 4.27$,83.2,4.27,$83.2 \pm 4.27$
91,resnet50,True,logistic,PCA,40,20,79.54,5.45,$79.54 \pm 5.45$,80.32,3.93,$80.32 \pm 3.93$,77.57,4.42,$77.57 \pm 4.42$,85.33,6.2,$85.33 \pm 6.2$,84.67,5.15,$84.67 \pm 5.15$,86.42,4.96,$86.42 \pm 4.96$,83.08,5.98,$83.08 \pm 5.98$,85.52,4.62,$85.52 \pm 4.62$,80.41,5.49,$80.41 \pm 5.49$,84.04,5.01,$84.04 \pm 5.01$,85.01,4.13,$85.01 \pm 4.13$,83.2,4.27,$83.2 \pm 4.27$
92,resneXt50,False,Not-Applicable,NMF,4,20,82.36,4.19,$82.36 \pm 4.19$,52.75,1.9,$52.75 \pm 1.9$,71.39,4.72,$71.39 \pm 4.72$,87.25,6.31,$87.25 \pm 6.31$,79.67,20.9,$79.67 \pm 20.9$,80.75,10.64,$80.75 \pm 10.64$,85.46,4.63,$85.46 \pm 4.63$,63.4,13.2,$63.4 \pm 13.2$,77.54,6.09,$77.54 \pm 6.09$,86.2,4.18,$86.2 \pm 4.18$,67.14,6.95,$67.14 \pm 6.95$,78.58,5.55,$78.58 \pm 5.55$
93,resneXt50,True,ridge,NMF,4,20,82.36,4.19,$82.36 \pm 4.19$,65.5,3.75,$65.5 \pm 3.75$,71.39,4.72,$71.39 \pm 4.72$,87.25,6.31,$87.25 \pm 6.31$,83.42,16.91,$83.42 \pm 16.91$,80.75,10.64,$80.75 \pm 10.64$,85.46,4.63,$85.46 \pm 4.63$,70.44,9.33,$70.44 \pm 9.33$,77.54,6.09,$77.54 \pm 6.09$,86.2,4.18,$86.2 \pm 4.18$,74.57,6.81,$74.57 \pm 6.81$,78.58,5.55,$78.58 \pm 5.55$
